ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
8.1,6E 03-26,2025-12-15 11:12:00,Short,1.18184702203693,2025-12-15 13:25:00,1.1802,TP1_Short_08,205.88,6.18,199.70,-75.74,424.26,Europe High,8,2.33
8.2,6E 03-26,2025-12-15 11:12:00,Short,1.18184702203693,2025-12-16 04:16:00,1.18184702203693,SL_Short_08,0.00,6.18,-6.18,-75.74,424.26,Europe High,8,0.00
9,6E 03-26,2025-12-16 09:05:00,Short,1.18295,2025-12-16 09:31:00,1.1831,SL_Short_09,-93.75,30.90,-124.65,-93.75,500.00,Europe High,9,-1.00
10.1,6E 03-26,2025-12-16 09:37:00,Short,1.1836,2025-12-16 09:45:00,1.1819,TP1_Short_10,212.50,6.18,206.32,-37.50,437.50,Europe High,10,0.68
10.2,6E 03-26,2025-12-16 09:37:00,Short,1.1836,2025-12-16 10:27:00,1.1836,SL_Short_10,0.00,6.18,-6.18,-37.50,437.50,Europe High,10,0.00
11,6E 03-26,2025-12-17 01:01:00,Long,1.17805179211469,2025-12-17 01:32:00,1.17785,SL_Long_01,-75.67,18.54,-94.21,-75.67,55.58,Europe Low,1,-1.00
12,6E 03-26,2025-12-17 01:49:00,Long,1.17780073529412,2025-12-17 01:52:00,1.1776,SL_Long_02,-75.28,18.54,-93.82,-75.28,0.00,Europe Low,2,-1.00
13,6E 03-26,2025-12-17 02:22:00,Long,1.17745014880952,2025-12-17 02:28:00,1.1773,SL_Long_03,-75.07,24.72,-99.79,-75.07,24.93,Europe Low,3,-1.00
14,6E 03-26,2025-12-17 02:54:00,Long,1.17725,2025-12-17 02:55:00,1.17715,SL_Long_04,-75.00,37.08,-112.08,-75.00,0.00,Europe Low,4,-1.00
15,6E 03-26,2025-12-17 03:04:00,Long,1.176,2025-12-17 03:06:00,1.1757,SL_Long_05,-75.00,12.36,-87.36,-75.00,25.00,Europe Low,5,-1.00
16,6E 03-26,2025-12-17 03:13:00,Long,1.17585,2025-12-17 03:19:00,1.1756,SL_Long_06,-93.75,18.54,-112.29,-93.75,150.00,Europe Low,6,-1.00
17.1,6E 03-26,2025-12-17 03:34:00,Long,1.17595212882096,2025-12-17 06:53:00,1.17725,TP1_Long_07,162.23,6.18,156.05,-100.53,336.97,Europe Low,7,1.08
17.2,6E 03-26,2025-12-17 03:34:00,Long,1.17595212882096,2025-12-17 06:53:00,1.1773,TP2_Long_07,168.48,6.18,162.30,-100.53,336.97,Europe Low,7,1.12
18.1,6E 03-26,2025-12-17 11:52:00,Short,1.18059806918744,2025-12-18 05:13:00,1.1777,TP1_Short_01,362.26,6.18,356.08,-37.98,737.02,Asia High,1,3.61
18.2,6E 03-26,2025-12-17 11:52:00,Short,1.18059806918744,2025-12-18 09:31:00,1.18059806918744,SL_Short_01,0.00,6.18,-6.18,-37.98,737.02,Asia High,1,0.00
19.1,6E 03-26,2025-12-18 10:04:00,Short,1.18044908400357,2025-12-18 10:20:00,1.17895,TP1_Short_01,187.39,6.18,181.21,-12.73,387.27,USA High,1,0.94
19.2,6E 03-26,2025-12-18 10:04:00,Short,1.18044908400357,2025-12-18 11:18:00,1.17795,TP2_Short_01,312.39,6.18,306.21,-12.73,387.27,USA High,1,1.56
20,6E 03-26,2025-12-19 00:50:00,Long,1.1765,2025-12-19 00:54:00,1.17635,SL_Long_01,-56.25,18.54,-74.79,-56.25,18.75,USA Low,1,-1.00
21,6E 03-26,2025-12-19 03:40:00,Long,1.17605,2025-12-19 03:45:00,1.1757,SL_Long_01,-87.50,12.36,-99.86,-87.50,25.00,Europe Low,1,-1.00
22,6E 03-26,2025-12-19 03:49:00,Long,1.1757,2025-12-19 03:51:00,1.1756,SL_Long_02,-37.50,18.54,-56.04,-37.50,18.75,Europe Low,2,-1.00
23.1,6E 03-26,2025-12-19 04:04:00,Long,1.17555035317861,2025-12-19 05:24:00,1.1765,TP1_Long_03,118.71,6.18,112.53,0.00,249.91,Asia Low,3,1.05
23.2,6E 03-26,2025-12-19 04:04:00,Long,1.17555035317861,2025-12-19 05:24:00,1.1765,TP2_Long_03,118.71,6.18,112.53,0.00,249.91,Asia Low,3,1.05
24,6E 03-26,2025-12-19 10:27:00,Short,1.17845,2025-12-19 10:27:00,1.1786,SL_Short_01,-56.25,18.54,-74.79,-56.25,0.00,Asia High,1,-1.00
25.1,6E 03-26,2025-12-19 10:32:00,Short,1.17825,2025-12-19 11:12:00,1.17715,TP1_Short_02,137.50,6.18,131.32,-37.50,287.50,Asia High,2,1.10
25.2,6E 03-26,2025-12-19 10:32:00,Short,1.17825,2025-12-19 18:00:00,1.1757,Exit on session close,318.75,6.18,312.57,-37.50,350.00,Asia High,2,2.55
1,6E 03-26,2025-12-15 06:42:00,Short,1.17959917711599,2025-12-15 07:16:00,1.17995,SL_Short_01,-87.71,12.36,-100.07,-87.71,62.29,Europe High,1,-1.00
2,6E 03-26,2025-12-15 07:34:00,Short,1.18005,2025-12-15 07:41:00,1.18015,SL_Short_02,-25.00,12.36,-37.36,-25.00,37.50,Europe High,2,-1.00
3,6E 03-26,2025-12-15 07:54:00,Short,1.18,2025-12-15 07:55:00,1.18025,SL_Short_03,-62.50,12.36,-74.86,-62.50,0.00,Europe High,3,-1.00
4,6E 03-26,2025-12-15 08:16:00,Short,1.18045,2025-12-15 08:20:00,1.18055,SL_Short_04,-25.00,12.36,-37.36,-25.00,12.50,Europe High,4,-1.00
