ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
9,MGC 02-26,2025-12-10 05:12:00,Long,4225.61171591497,2025-12-10 05:44:00,4222.1,SL_Long_05,-70.23,3.08,-73.31,-70.23,29.77,Asia Low,5,-1.00
10,MGC 02-26,2025-12-10 06:04:00,Long,4221.8,2025-12-10 06:05:00,4220.1,SL_Long_06,-51.00,4.62,-55.62,-51.00,0.00,Asia Low,6,-1.00
11,MGC 02-26,2025-12-10 06:21:00,Long,4222.11868530021,2025-12-10 06:31:00,4219.3,SL_Long_07,-56.37,3.08,-59.45,-56.37,17.63,Asia Low,7,-1.00
12.1,MGC 02-26,2025-12-10 06:51:00,Long,4220.12875121006,2025-12-10 09:49:00,4232.1,TP1_Long_01,119.71,1.54,118.17,-28.58,241.42,USA Low,1,1.21
12.2,MGC 02-26,2025-12-10 06:51:00,Long,4220.12875121006,2025-12-10 10:39:00,4220.12875121006,SL_Long_01,0.00,1.54,-1.54,-28.58,241.42,USA Low,1,0.00
13.1,MGC 02-26,2025-12-10 15:48:00,Long,4215.5,2025-12-10 15:53:00,4229.5,TP1_Long_01,140.00,1.54,138.46,-16.00,282.00,Europe Low,1,0.92
13.2,MGC 02-26,2025-12-10 15:48:00,Long,4215.5,2025-12-10 15:58:00,4242,TP2_Long_01,265.00,1.54,263.46,-16.00,282.00,Europe Low,1,1.74
14,MGC 02-26,2025-12-10 16:22:00,Short,4265.19975550121,2025-12-10 20:12:00,4269,SL_Short_01,-76.00,3.08,-79.08,-76.00,280.00,USA High,1,-1.00
15.1,MGC 02-26,2025-12-10 20:31:00,Short,4271.69245454546,2025-12-10 21:00:00,4265.2,TP1_Short_02,64.92,1.54,63.38,-22.15,131.85,USA High,2,1.08
15.2,MGC 02-26,2025-12-10 20:31:00,Short,4271.69245454546,2025-12-10 21:01:00,4271.69245454546,SL_Short_02,0.00,1.54,-1.54,-22.15,131.85,USA High,2,0.00
16.1,MGC 02-26,2025-12-10 21:10:00,Short,4274.08464407834,2025-12-10 21:21:00,4267.9,TP1_Short_03,61.85,1.54,60.31,-16.31,125.69,USA High,3,0.83
16.2,MGC 02-26,2025-12-10 21:10:00,Short,4274.08464407834,2025-12-11 11:34:00,4274.08464407834,SL_Short_03,0.00,1.54,-1.54,-16.31,426.85,USA High,3,0.00
17,MGC 02-26,2025-12-11 11:55:00,Short,4289.19877790836,2025-12-11 12:23:00,4291.5,SL_Short_01,-69.04,4.62,-73.66,-69.04,314.96,USA High,1,-1.00
18,MGC 02-26,2025-12-11 12:27:00,Short,4289.79996167114,2025-12-11 12:44:00,4291.9,SL_Short_02,-42.00,3.08,-45.08,-42.00,86.00,USA High,2,-1.00
19,MGC 02-26,2025-12-11 12:59:00,Short,4304.99589366248,2025-12-11 13:07:00,4309.6,SL_Short_03,-92.08,3.08,-95.16,-92.08,49.92,USA High,3,-1.00
20,MGC 02-26,2025-12-11 13:14:00,Short,4307.69971509972,2025-12-11 13:21:00,4311.7,SL_Short_04,-80.01,3.08,-83.09,-80.01,55.99,USA High,4,-1.00
21,MGC 02-26,2025-12-11 13:26:00,Short,4308.69102496017,2025-12-11 14:05:00,4312.3,SL_Short_05,-72.18,3.08,-75.26,-72.18,129.82,USA High,5,-1.00
22,MGC 02-26,2025-12-11 14:16:00,Short,4315.3,2025-12-12 03:08:00,4317.1,SL_Short_06,-54.00,4.62,-58.62,-54.00,684.00,USA High,6,-1.00
23,MGC 02-26,2025-12-12 03:18:00,Short,4317.89689298043,2025-12-12 03:36:00,4319.8,SL_Short_07,-57.09,4.62,-61.71,-57.09,89.91,USA High,7,-1.00
24,MGC 02-26,2025-12-12 03:45:00,Short,4317.48836280661,2025-12-12 04:04:00,4321.2,SL_Short_08,-74.23,3.08,-77.31,-74.23,37.77,USA High,8,-1.00
25,MGC 02-26,2025-12-12 04:23:00,Short,4323.96579476861,2025-12-12 04:32:00,4326.7,SL_Short_01,-54.68,3.08,-57.76,-54.68,23.32,Europe High,1,-1.00
26,MGC 02-26,2025-12-12 04:49:00,Short,4333.9,2025-12-12 04:50:00,4335.3,SL_Short_02,-56.00,6.16,-62.16,-56.00,60.00,Europe High,2,-1.00
27,MGC 02-26,2025-12-12 05:19:00,Short,4347.29968,2025-12-12 05:26:00,4349.5,SL_Short_03,-44.01,3.08,-47.09,-44.01,29.99,Europe High,3,-1.00
28,MGC 02-26,2025-12-12 05:36:00,Short,4342.86098076021,2025-12-12 05:55:00,4350,SL_Short_04,-142.78,3.08,-145.86,-142.78,65.22,Europe High,4,-1.00
29,MGC 02-26,2025-12-12 06:10:00,Short,4349.6991817252,2025-12-12 06:12:00,4352.5,SL_Short_05,-56.02,3.08,-59.10,-56.02,7.98,Europe High,5,-1.00
