ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
11.1,MYM 03-26,2025-12-23 16:58:00,Short,48787.4436933477,2025-12-24 02:01:00,48715,TP1_Short_05,36.22,1.82,34.40,-2.56,73.44,USA High,5,0.54
11.2,MYM 03-26,2025-12-23 16:58:00,Short,48787.4436933477,2025-12-24 10:32:00,48787.4436933477,SL_Short_05,0.00,1.82,-1.82,-2.56,73.44,USA High,5,0.00
12,MYM 03-26,2025-12-24 11:01:00,Short,48861.8877445932,2025-12-24 11:16:00,48888,SL_Short_06,-52.22,7.28,-59.50,-52.22,65.78,USA High,6,-1.00
13,MYM 03-26,2025-12-24 11:20:00,Short,48890,2025-12-24 11:25:00,48905,SL_Short_07,-52.50,12.74,-65.24,-52.50,38.50,USA High,7,-1.00
14,MYM 03-26,2025-12-24 11:51:00,Short,48934.9933774834,2025-12-24 11:57:00,48948,SL_Short_08,-52.03,14.56,-66.59,-52.03,27.97,USA High,8,-1.00
15,MYM 03-26,2025-12-24 12:06:00,Short,48953.9834710744,2025-12-24 12:15:00,48972,SL_Short_09,-54.05,10.92,-64.97,-57.05,26.95,USA High,9,-1.00
16,MYM 03-26,2025-12-24 12:19:00,Short,48970.9399038462,2025-12-24 12:20:00,48981,SL_Short_10,-50.30,18.20,-68.50,-50.30,0.00,USA High,10,-1.00
17,MYM 03-26,2025-12-24 12:28:00,Short,48994,2025-12-24 12:34:00,49005,SL_Short_11,-55.00,18.20,-73.20,-55.00,30.00,USA High,11,-1.00
18,MYM 03-26,2025-12-24 12:48:00,Short,49028,2025-12-24 13:02:00,49037,SL_Short_12,-54.00,21.84,-75.84,-54.00,210.00,USA High,12,-1.00
19,MYM 03-26,2025-12-24 13:16:00,Short,49046.9978768577,2025-12-24 13:31:00,49056,SL_Short_13,-54.01,21.84,-75.85,-54.01,173.99,USA High,13,-1.00
20,MYM 03-26,2025-12-24 13:44:00,Short,49061.9198606272,2025-12-26 14:23:00,48893,TP1_Short_14,168.92,3.64,165.28,-42.16,339.84,USA High,14,3.51
20.2,MYM 03-26,2025-12-24 13:44:00,Short,49061.9198606272,2025-12-26 18:00:00,49006,Exit on session close,55.92,3.64,52.28,-42.16,339.84,USA High,14,1.16
1,MYM 03-26,2025-12-15 04:45:00,Short,49051.9,2025-12-15 04:49:00,49054,SL_Short_01,-56.70,98.28,-154.98,-56.70,294.30,Europe High,1,-1.00
2,MYM 03-26,2025-12-15 05:05:00,Short,49050.6174496644,2025-12-15 05:14:00,49067,SL_Short_02,-57.34,12.74,-70.08,-67.84,23.16,Europe High,2,-1.00
3,MYM 03-26,2025-12-15 11:08:00,Long,48876,2025-12-15 11:14:00,48823,SL_Long_01,-53.00,3.64,-56.64,-53.00,47.00,USA Low,1,-1.00
4,MYM 03-26,2025-12-15 11:20:00,Long,48788.0078125,2025-12-15 11:21:00,48786,SL_Long_02,-29.11,52.78,-81.89,-43.61,507.39,USA Low,2,-1.00
5,MYM 03-26,2025-12-15 11:37:00,Long,48796.216066482,2025-12-15 12:44:00,48722,SL_Long_03,-74.22,3.64,-77.86,-74.22,96.78,USA Low,3,-1.00
6,MYM 03-26,2025-12-15 12:57:00,Long,48755.5742743312,2025-12-15 13:34:00,48705,SL_Long_04,-50.57,3.64,-54.21,-50.57,43.43,USA Low,4,-1.00
7,MYM 03-26,2025-12-15 13:48:00,Long,48759.5201853077,2025-12-15 13:51:00,48702,SL_Long_05,-57.52,3.64,-61.16,-57.52,0.48,USA Low,5,-1.00
8.1,MYM 03-26,2025-12-15 14:22:00,Long,48744.2794354839,2025-12-15 16:00:00,48851,TP1_Long_06,53.36,1.82,51.54,-67.28,107.72,USA Low,6,0.78
8.2,MYM 03-26,2025-12-15 14:22:00,Long,48744.2794354839,2025-12-15 21:36:00,48744.2794354839,SL_Long_06,0.00,1.82,-1.82,-67.28,107.72,USA Low,6,0.00
9,MYM 03-26,2025-12-15 21:53:00,Long,48682,2025-12-16 01:56:00,48657,SL_Long_07,-75.00,10.92,-85.92,-75.00,147.00,USA Low,7,-1.00
10,MYM 03-26,2025-12-16 02:03:00,Long,48644,2025-12-16 03:45:00,48642,SL_Long_08,-70.00,127.40,-197.40,-70.00,1995.00,USA Low,8,-1.00
11,MYM 03-26,2025-12-16 03:56:00,Long,48665,2025-12-16 04:29:00,48736,TP1_Long_09,71.00,3.64,67.36,-4.00,142.00,USA Low,9,1.42
11.2,MYM 03-26,2025-12-16 03:56:00,Long,48665,2025-12-16 10:43:00,48665,SL_Long_09,0.00,3.64,-3.64,-4.00,256.00,USA Low,9,0.00
12,MYM 03-26,2025-12-16 11:39:00,Long,48572.4978949295,2025-12-16 13:28:00,48491,SL_Long_01,-81.50,3.64,-85.14,-81.50,137.50,USA Low,1,-1.00
13,MYM 03-26,2025-12-16 13:37:00,Long,48522,2025-12-16 13:39:00,48478,SL_Long_02,-88.00,7.28,-95.28,-88.00,22.00,USA Low,2,-1.00
14,MYM 03-26,2025-12-16 14:11:00,Long,48348,2025-12-17 10:32:00,48639,TP1_Long_03,436.50,5.46,431.04,-60.00,730.00,USA Low,3,4.85
14.2,MYM 03-26,2025-12-16 14:11:00,Long,48348,2025-12-17 11:59:00,48348,SL_Long_03,0.00,3.64,-3.64,-60.00,730.00,USA Low,3,0.00
15,MYM 03-26,2025-12-17 12:56:00,Long,48329,2025-12-17 13:47:00,48304,SL_Long_04,-100.00,14.56,-114.56,-100.00,448.00,USA Low,4,-1.00
16,MYM 03-26,2025-12-17 14:12:00,Long,48353.1920369022,2025-12-17 14:16:00,48300,SL_Long_05,-106.38,7.28,-113.66,-106.38,9.62,USA Low,5,-1.00
17,MYM 03-26,2025-12-17 14:40:00,Long,48289.1797752809,2025-12-17 14:41:00,48259,SL_Long_06,-90.54,10.92,-101.46,-90.54,0.00,USA Low,6,-1.00
18,MYM 03-26,2025-12-17 15:02:00,Long,48264,2025-12-17 16:54:00,48233,SL_Long_07,-93.00,10.92,-103.92,-93.00,225.00,USA Low,7,-1.00
