ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
13,MBT 01-26,2025-11-19 14:53:00,Long,90084.5685840708,2025-11-19 15:39:00,89765,SL_Long_04,-95.87,9.36,-105.23,-95.87,109.63,USA Low,4,-1.00
14,MBT 01-26,2025-11-19 15:58:00,Long,89950.1426024955,2025-11-19 16:10:00,89605,SL_Long_05,-103.54,9.36,-112.90,-103.54,8.96,USA Low,5,-1.00
15,MBT 01-26,2025-11-19 16:14:00,Long,89670,2025-11-19 17:23:00,91815,TP1_Long_06,1287.00,18.72,1268.28,-48.00,2592.00,USA Low,6,12.62
15.2,MBT 01-26,2025-11-19 16:14:00,Long,89670,2025-11-19 21:20:00,93485,TP2_Long_06,2289.00,18.72,2270.28,-48.00,2592.00,USA Low,6,22.44
16,MBT 01-26,2025-11-20 10:15:00,Long,91710.1467391304,2025-11-20 11:08:00,91445,SL_Long_01,-106.06,12.48,-118.54,-112.06,405.94,Asia Low,1,-1.00
17,MBT 01-26,2025-11-20 12:31:00,Long,89637.9305776365,2025-11-20 12:42:00,89215,SL_Long_01,-84.59,6.24,-90.83,-84.59,48.41,USA Low,1,-1.00
18,MBT 01-26,2025-11-20 13:26:00,Long,88006.3672616787,2025-11-20 13:36:00,87685,SL_Long_02,-96.41,9.36,-105.77,-103.91,112.09,USA Low,2,-1.00
19,MBT 01-26,2025-11-21 08:34:00,Long,82560,2025-11-21 08:34:00,82555,SL_Long_01,-1.00,6.24,-7.24,0.00,0.00,Europe Low,1,-1.00
1,MBT 01-26,2025-11-10 05:53:00,Short,108000,2025-11-10 06:38:00,107385,TP1_Short_01,307.50,15.60,291.90,-15.00,625.00,Europe High,1,6.83
1.2,MBT 01-26,2025-11-10 05:53:00,Short,108000,2025-11-10 08:08:00,107215,TP2_Short_01,392.50,15.60,376.90,-15.00,625.00,Europe High,1,8.72
2,MBT 01-26,2025-11-11 08:49:00,Long,105840,2025-11-11 08:49:00,105830,SL_Long_01,-52.00,162.24,-214.24,-52.00,0.00,USA Low,1,-1.00
3,MBT 01-26,2025-11-11 08:56:00,Long,105845.227272727,2025-11-11 09:24:00,105695,SL_Long_02,-60.09,12.48,-72.57,-60.09,95.91,USA Low,2,-1.00
4,MBT 01-26,2025-11-11 09:33:00,Long,105677.419354839,2025-11-11 10:33:00,105575,SL_Long_03,-61.45,18.72,-80.17,-61.45,157.55,USA Low,3,-1.00
5,MBT 01-26,2025-11-12 04:48:00,Short,105399.542857143,2025-11-12 05:02:00,105550,SL_Short_01,-75.23,15.60,-90.83,-75.23,17.27,Asia High,1,-1.00
6,MBT 01-26,2025-11-12 05:07:00,Short,105657.272727273,2025-11-12 05:07:00,105670,SL_Short_02,-73.82,180.96,-254.78,-73.82,158.18,Asia High,2,-1.00
7,MBT 01-26,2025-11-12 05:10:00,Short,105715,2025-11-12 05:10:00,105725,SL_Short_03,-41.00,127.92,-168.92,-41.00,20.50,Asia High,3,-1.00
8,MBT 01-26,2025-11-12 05:14:00,Short,106149.587280108,2025-11-12 05:18:00,106235,SL_Short_01,-42.71,15.60,-58.31,-52.71,79.79,USA High,1,-1.00
9,MBT 01-26,2025-11-12 12:19:00,Long,102920,2025-11-12 13:19:00,102570,SL_Long_01,-70.00,6.24,-76.24,-70.00,79.00,USA Low,1,-1.00
10,MBT 01-26,2025-11-12 13:47:00,Long,102951.844432882,2025-11-12 15:07:00,102540,SL_Long_02,-82.37,6.24,-88.61,-82.37,39.63,USA Low,2,-1.00
11,MBT 01-26,2025-11-12 15:12:00,Long,102425,2025-11-12 15:29:00,102280,SL_Long_03,-43.50,9.36,-52.86,-49.50,30.00,USA Low,3,-1.00
12,MBT 01-26,2025-11-13 12:37:00,Long,102289.160906298,2025-11-13 12:56:00,101840,SL_Long_01,-89.83,6.24,-96.07,-89.83,25.17,USA Low,1,-1.00
13,MBT 01-26,2025-11-13 13:06:00,Long,101765,2025-11-13 13:06:00,101650,SL_Long_02,-69.00,18.72,-87.72,-69.00,0.00,USA Low,2,-1.00
14,MBT 01-26,2025-11-13 13:15:00,Long,101665,2025-11-13 13:22:00,101570,SL_Long_03,-66.50,21.84,-88.34,-66.50,185.50,USA Low,3,-1.00
