ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
35,M2K 03-26,2025-12-11 22:59:00,Short,2622.44934210526,2025-12-12 01:41:00,2624.1,SL_Short_12,-66.03,14.56,-80.59,-66.03,89.97,USA High,12,-1.00
36,M2K 03-26,2025-12-12 01:57:00,Short,2624.3935483871,2025-12-12 02:30:00,2625,SL_Short_13,-69.74,41.86,-111.60,-69.74,125.76,USA High,13,-1.00
37,M2K 03-26,2025-12-12 12:32:00,Long,2579.41223678983,2025-12-12 12:34:00,2576.1,SL_Long_01,-99.37,10.92,-110.29,-99.37,2.63,USA Low,1,-1.00
38,M2K 03-26,2025-12-12 12:47:00,Long,2574.2,2025-12-12 14:13:00,2590.7,TP2_Long_01,165.00,3.64,161.36,-76.00,332.00,Europe Low,1,1.92
38.2,M2K 03-26,2025-12-12 12:47:00,Long,2574.2,2025-12-12 16:33:00,2569.9,SL_Long_01,-86.00,7.28,-93.28,-76.00,332.00,Europe Low,1,-1.00
1,M2K 03-26,2025-12-01 09:22:00,Long,2498.55196850394,2025-12-01 10:28:00,2493.4,SL_Long_01,-77.28,5.46,-82.74,-77.28,38.22,Europe Low,1,-1.00
2.1,M2K 03-26,2025-12-01 10:40:00,Long,2497.10960166468,2025-12-01 10:47:00,2502.8,TP1_Long_02,28.45,1.82,26.63,-5.10,57.90,Europe Low,2,0.59
2.2,M2K 03-26,2025-12-01 10:40:00,Long,2497.10960166468,2025-12-01 10:52:00,2509.6,TP2_Long_02,62.45,1.82,60.63,-5.10,62.95,Europe Low,2,1.30
3,M2K 03-26,2025-12-02 04:55:00,Short,2501.9,2025-12-02 04:55:00,2502.1,SL_Short_01,-26.00,47.32,-73.32,-26.00,0.00,Asia High,1,-1.00
4,M2K 03-26,2025-12-02 05:01:00,Short,2503.7,2025-12-02 05:04:00,2504.3,SL_Short_02,-42.00,25.48,-67.48,-42.00,14.00,Asia High,2,-1.00
5,M2K 03-26,2025-12-02 05:19:00,Short,2505.19803921569,2025-12-02 05:22:00,2505.9,SL_Short_03,-49.14,25.48,-74.62,-49.14,27.86,Asia High,3,-1.00
6,M2K 03-26,2025-12-02 05:25:00,Short,2506.5,2025-12-02 05:25:00,2506.7,SL_Short_04,-98.00,178.36,-276.36,-147.00,0.00,Asia High,4,-1.00
7,M2K 03-26,2025-12-02 05:31:00,Short,2506.98448275862,2025-12-02 06:53:00,2507.9,SL_Short_05,-50.35,20.02,-70.37,-50.35,246.65,Asia High,5,-1.00
8,M2K 03-26,2025-12-02 07:05:00,Short,2509.4,2025-12-02 07:33:00,2510.3,SL_Short_06,-49.50,20.02,-69.52,-49.50,77.00,Asia High,6,-1.00
9,M2K 03-26,2025-12-02 07:49:00,Short,2508.52211538461,2025-12-02 08:35:00,2505.3,TP1_Short_07,32.22,3.64,28.58,-3.56,66.44,Asia High,7,0.65
9.2,M2K 03-26,2025-12-02 07:49:00,Short,2508.52211538461,2025-12-02 09:31:00,2508.52211538461,SL_Short_07,0.00,3.64,-3.64,-3.56,66.44,Asia High,7,0.00
