ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
11,MCL 02-26,2025-12-16 10:01:00,Long,55.574,2025-12-16 10:01:00,55.5,SL_Long_08,-29.60,6.16,-35.76,-29.60,0.00,Europe Low,8,-1.00
12,MCL 02-26,2025-12-16 10:15:00,Long,55.41,2025-12-16 10:16:00,55.37,SL_Long_09,-52.00,20.02,-72.02,-52.00,0.00,Europe Low,9,-1.00
13,MCL 02-26,2025-12-16 10:32:00,Long,55.4811111111111,2025-12-16 10:46:00,55.34,SL_Long_10,-42.33,4.62,-46.95,-42.33,5.67,Europe Low,10,-1.00
14,MCL 02-26,2025-12-16 10:53:00,Long,55.27,2025-12-16 11:00:00,55.21,SL_Long_11,-48.00,12.32,-60.32,-48.00,24.00,Europe Low,11,-1.00
15,MCL 02-26,2025-12-16 11:10:00,Long,55.21,2025-12-16 11:17:00,55.15,SL_Long_12,-48.00,12.32,-60.32,-48.00,8.00,Europe Low,12,-1.00
16,MCL 02-26,2025-12-16 11:36:00,Long,54.99,2025-12-16 11:42:00,54.94,SL_Long_13,-40.00,12.32,-52.32,-40.00,56.00,Europe Low,13,-1.00
17,MCL 02-26,2025-12-16 12:07:00,Long,55.0667522321429,2025-12-16 20:08:00,55.66,TP1_Long_14,118.65,3.08,115.57,-29.03,180.97,Europe Low,14,2.24
17.2,MCL 02-26,2025-12-16 12:07:00,Long,55.0667522321429,2025-12-17 05:01:00,56.3,TP2_Long_14,123.32,1.54,121.78,-29.03,180.97,Europe Low,14,2.33
18,MCL 02-26,2025-12-17 05:36:00,Short,56.2780195783133,2025-12-17 06:20:00,56.54,SL_Short_01,-52.40,3.08,-55.48,-52.40,3.60,Europe High,1,-1.00
19,MCL 02-26,2025-12-17 06:34:00,Short,56.51,2025-12-17 10:06:00,55.92,TP1_Short_02,118.00,3.08,114.92,-16.00,240.00,Europe High,2,4.21
19.2,MCL 02-26,2025-12-17 06:34:00,Short,56.51,2025-12-17 16:43:00,56.51,SL_Short_02,0.00,3.08,-3.08,-16.00,240.00,Europe High,2,0.00
20,MCL 02-26,2025-12-17 17:01:00,Short,56.57,2025-12-17 17:03:00,56.66,SL_Short_03,-27.00,4.62,-31.62,-27.00,9.00,Europe High,3,-1.00
21,MCL 02-26,2025-12-17 17:06:00,Short,56.68,2025-12-17 17:06:00,56.72,SL_Short_04,-28.00,10.78,-38.78,-28.00,0.00,Europe High,4,-1.00
22,MCL 02-26,2025-12-17 17:17:00,Short,56.7693373493977,2025-12-17 19:01:00,56.82,SL_Short_01,-30.40,9.24,-39.64,-42.40,83.60,Asia High,1,-1.00
23,MCL 02-26,2025-12-18 07:05:00,Long,55.8506280193238,2025-12-18 07:35:00,55.8,SL_Long_01,-45.57,13.86,-59.43,-45.57,143.43,Asia Low,1,-1.00
24,MCL 02-26,2025-12-18 07:42:00,Long,55.85,2025-12-18 07:48:00,55.76,SL_Long_02,-45.00,7.70,-52.70,-45.00,0.00,Asia Low,2,-1.00
25,MCL 02-26,2025-12-18 08:01:00,Long,55.77,2025-12-18 09:32:00,56.23,TP1_Long_03,184.00,6.16,177.84,-24.00,376.00,Asia Low,3,4.60
25.2,MCL 02-26,2025-12-18 08:01:00,Long,55.77,2025-12-18 21:32:00,55.77,SL_Long_03,0.00,6.16,-6.16,-24.00,376.00,Asia Low,3,0.00
