Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
205,MNQ 03-25,Playback101,,Long,1,21483.00,21472.50,27/1/25 12:42:01 a. m.,27/1/25 1:11:00 a. m.,EntryAnticipado_Long_03,SL_Long_03,$-2290,$32750,$190,$000,$000,$000,$000,$3250,$4750,$7040,29,
206,MNQ 03-25,Playback101,,Long,5,21471.25,21460.00,27/1/25 1:25:01 a. m.,27/1/25 1:26:31 a. m.,EntryAnticipado_Long_04,SL_Long_04,$-12200,$20550,$950,$000,$000,$000,$000,$16250,$1000,$13200,2,
207,MNQ 03-25,Playback101,,Long,2,21471.00,21460.25,27/1/25 1:25:01 a. m.,27/1/25 1:26:31 a. m.,EntryAnticipado_Long_04,SL_Long_04,$-4680,$15870,$380,$000,$000,$000,$000,$6400,$500,$5180,2,
208,MNQ 03-25,Playback101,,Long,1,21434.25,21410.50,27/1/25 1:44:01 a. m.,27/1/25 2:10:36 a. m.,EntryAnticipado_Long_05,SL_Long_05,$-4940,$10930,$190,$000,$000,$000,$000,$5050,$1200,$6140,27,
209,MNQ 03-25,Playback101,,Long,2,21434.25,21410.75,27/1/25 1:44:01 a. m.,27/1/25 2:10:36 a. m.,EntryAnticipado_Long_05,SL_Long_05,$-9780,$1150,$380,$000,$000,$000,$000,$10100,$2400,$12180,27,
210,MNQ 03-25,Playback101,,Long,4,21422.50,21408.50,27/1/25 2:14:01 a. m.,27/1/25 2:24:03 a. m.,EntryAnticipado_Long_06,SL_Long_06,$-11960,$-10810,$760,$000,$000,$000,$000,$12400,$12400,$24360,11,
211,MNQ 03-25,Playback101,,Long,1,21422.25,21408.50,27/1/25 2:14:01 a. m.,27/1/25 2:24:03 a. m.,EntryAnticipado_Long_06,SL_Long_06,$-2940,$-13750,$190,$000,$000,$000,$000,$3050,$3150,$6090,11,
212,MNQ 03-25,Playback101,,Long,1,21422.25,21408.75,27/1/25 2:14:01 a. m.,27/1/25 2:24:03 a. m.,EntryAnticipado_Long_06,SL_Long_06,$-2890,$-16640,$190,$000,$000,$000,$000,$3050,$3150,$6040,11,
213,MNQ 03-25,Playback101,,Long,3,21424.00,21406.50,27/1/25 2:28:02 a. m.,27/1/25 2:30:42 a. m.,EntryAnticipado_Long_07,SL_Long_07,$-11070,$-27710,$570,$000,$000,$000,$000,$10800,$000,$11070,3,
214,MNQ 03-25,Playback101,,Long,2,21423.75,21406.75,27/1/25 2:28:02 a. m.,27/1/25 2:30:42 a. m.,EntryAnticipado_Long_07,SL_Long_07,$-7180,$-34890,$380,$000,$000,$000,$000,$7100,$100,$7280,3,
215,MNQ 03-25,Playback101,,Long,1,21386.00,21364.50,27/1/25 2:41:02 a. m.,27/1/25 2:48:30 a. m.,EntryAnticipado_Long_01,SL_Long_01,$-4490,$-39380,$190,$000,$000,$000,$000,$4900,$200,$4690,8,
216,MNQ 03-25,Playback101,,Long,1,21386.00,21364.75,27/1/25 2:41:02 a. m.,27/1/25 2:48:30 a. m.,EntryAnticipado_Long_01,SL_Long_01,$-4440,$-43820,$190,$000,$000,$000,$000,$4900,$200,$4640,8,
217,MNQ 03-25,Playback101,,Long,1,21385.75,21364.75,27/1/25 2:41:02 a. m.,27/1/25 2:48:30 a. m.,EntryAnticipado_Long_01,SL_Long_01,$-4390,$-48210,$190,$000,$000,$000,$000,$4850,$250,$4640,8,
218,MNQ 03-25,Playback101,,Long,2,21386.00,21356.25,27/1/25 2:52:01 a. m.,27/1/25 3:15:12 a. m.,EntryAnticipado_Long_02,SL_Long_02,$-12280,$-60490,$380,$000,$000,$000,$000,$13100,$10400,$22680,24,
219,MNQ 03-25,Playback101,,Long,1,21386.00,21356.50,27/1/25 2:52:01 a. m.,27/1/25 3:15:12 a. m.,EntryAnticipado_Long_02,SL_Long_02,$-6090,$-66580,$190,$000,$000,$000,$000,$6550,$5200,$11290,24,
220,MNQ 03-25,Playback101,,Long,3,21341.75,21318.25,27/1/25 3:29:01 a. m.,27/1/25 3:55:52 a. m.,EntryAnticipado_Long_03,SL_Long_03,$-14670,$-81250,$570,$000,$000,$000,$000,$17100,$8550,$23220,27,
221,MNQ 03-25,Playback101,,Long,3,21307.00,21282.75,27/1/25 4:04:01 a. m.,27/1/25 4:07:28 a. m.,EntryAnticipado_Long_04,SL_Long_04,$-15120,$-96370,$570,$000,$000,$000,$000,$17400,$3150,$18270,4,
222,MNQ 03-25,Playback101,,Long,1,21254.00,21204.25,27/1/25 4:27:01 a. m.,27/1/25 4:43:38 a. m.,EntryAnticipado_Long_01,SL_Long_01,$-10140,$-1.06510,$190,$000,$000,$000,$000,$12200,$4200,$14340,17,
223,MNQ 03-25,Playback101,,Long,1,21229.75,21192.25,27/1/25 4:47:01 a. m.,27/1/25 5:03:27 a. m.,EntryAnticipado_Long_02,SL_Long_02,$-7690,$-1.14200,$190,$000,$000,$000,$000,$7600,$4050,$11740,17,
224,MNQ 03-25,Playback101,,Long,1,21229.50,21192.25,27/1/25 4:47:01 a. m.,27/1/25 5:03:27 a. m.,EntryAnticipado_Long_02,SL_Long_02,$-7640,$-1.21840,$190,$000,$000,$000,$000,$7550,$4100,$11740,17,
225,MNQ 03-25,Playback101,,Long,1,21230.75,21191.00,27/1/25 5:06:01 a. m.,27/1/25 5:30:41 a. m.,EntryAnticipado_Long_03,SL_Long_03,$-8140,$-1.29980,$190,$000,$000,$000,$000,$8550,$7700,$15840,25,
226,MNQ 03-25,Playback101,,Long,1,21230.75,21191.25,27/1/25 5:06:01 a. m.,27/1/25 5:30:41 a. m.,EntryAnticipado_Long_03,SL_Long_03,$-8090,$-1.38070,$190,$000,$000,$000,$000,$8550,$7700,$15790,25,
227,MNQ 03-25,Playback101,,Long,3,21215.50,21185.50,27/1/25 5:34:01 a. m.,27/1/25 5:47:47 a. m.,EntryAnticipado_Long_04,SL_Long_04,$-18570,$-1.56640,$570,$000,$000,$000,$000,$18750,$15900,$34470,14,
228,MNQ 03-25,Playback101,,Long,2,21193.50,21166.25,27/1/25 5:52:01 a. m.,27/1/25 5:56:51 a. m.,EntryAnticipado_Long_01,SL_Long_01,$-11280,$-1.67920,$380,$000,$000,$000,$000,$11600,$1700,$12980,5,
229,MNQ 03-25,Playback101,,Long,1,21193.50,21166.50,27/1/25 5:52:01 a. m.,27/1/25 5:56:51 a. m.,EntryAnticipado_Long_01,SL_Long_01,$-5590,$-1.73510,$190,$000,$000,$000,$000,$5800,$850,$6440,5,
230,MNQ 03-25,Playback101,,Long,3,21129.50,21108.25,27/1/25 6:07:01 a. m.,27/1/25 6:15:07 a. m.,EntryAnticipado_Long_02,SL_Long_02,$-13320,$-1.86830,$570,$000,$000,$000,$000,$12750,$12150,$25470,9,
231,MNQ 03-25,Playback101,,Long,1,20859.50,21256.25,27/1/25 6:55:01 a. m.,27/1/25 10:32:01 a. m.,EntryAnticipado_Long_01,TP1_Long_01,$79160,$-1.07670,$190,$000,$000,$000,$000,$900,$80200,$1040,218,
232,MNQ 03-25,Playback101,,Short,1,21240.75,21341.25,27/1/25 11:20:01 a. m.,27/1/25 11:28:41 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-20290,$-1.27960,$190,$000,$000,$000,$000,$21550,$250,$20540,9,
233,MNQ 03-25,Playback101,,Short,1,21314.00,21298.75,28/1/25 4:07:01 a. m.,28/1/25 4:12:38 a. m.,EntryAnticipado_Short_01,TP1_Short_01,$2860,$-1.25100,$190,$000,$000,$000,$000,$10100,$4850,$1990,6,
234,MNQ 03-25,Playback101,,Short,1,21314.00,21362.50,28/1/25 4:07:01 a. m.,28/1/25 4:48:17 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-9890,$-1.34990,$190,$000,$000,$000,$000,$10100,$4850,$14740,42,
235,MNQ 03-25,Playback101,,Short,3,21380.25,21405.50,28/1/25 5:08:01 a. m.,28/1/25 6:02:10 a. m.,EntryAnticipado_Short_02,SL_Short_02,$-15720,$-1.50710,$570,$000,$000,$000,$000,$15900,$21000,$36720,55,
236,MNQ 03-25,Playback101,,Short,3,21403.75,21418.25,28/1/25 6:14:01 a. m.,28/1/25 6:20:36 a. m.,EntryAnticipado_Short_03,SL_Short_03,$-9270,$-1.59980,$570,$000,$000,$000,$000,$9750,$1650,$10920,7,
237,MNQ 03-25,Playback101,,Short,2,21403.75,21418.00,28/1/25 6:14:01 a. m.,28/1/25 6:20:36 a. m.,EntryAnticipado_Short_03,SL_Short_03,$-6080,$-1.66060,$380,$000,$000,$000,$000,$6500,$1100,$7180,7,
238,MNQ 03-25,Playback101,,Short,1,21404.00,21418.00,28/1/25 6:14:01 a. m.,28/1/25 6:20:36 a. m.,EntryAnticipado_Short_03,SL_Short_03,$-2990,$-1.69050,$190,$000,$000,$000,$000,$3200,$600,$3590,7,
239,MNQ 03-25,Playback101,,Short,1,21408.75,21332.50,28/1/25 6:25:01 a. m.,28/1/25 7:35:43 a. m.,EntryAnticipado_Short_01,TP1_Short_01,$15060,$-1.53990,$190,$000,$000,$000,$000,$2600,$15400,$340,71,
240,MNQ 03-25,Playback101,,Short,2,21409.00,21332.50,28/1/25 6:25:01 a. m.,28/1/25 7:35:43 a. m.,EntryAnticipado_Short_01,TP1_Short_01,$30220,$-1.23770,$380,$000,$000,$000,$000,$6400,$99300,$69080,71,
241,MNQ 03-25,Playback101,,Short,2,21409.00,21423.50,28/1/25 6:25:01 a. m.,28/1/25 11:23:32 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-6180,$-1.29950,$380,$000,$000,$000,$000,$6400,$99300,$1.05480,299,
242,MNQ 03-25,Playback101,,Short,1,21438.25,21388.25,28/1/25 11:34:01 a. m.,28/1/25 12:42:28 p. m.,EntryAnticipado_Short_01,TP1_Short_01,$9810,$-1.20140,$190,$000,$000,$000,$000,$9350,$10200,$390,69,
243,MNQ 03-25,Playback101,,Short,1,21438.25,21481.50,28/1/25 11:34:01 a. m.,28/1/25 1:00:46 p. m.,EntryAnticipado_Short_01,SL_Short_01,$-8840,$-1.28980,$190,$000,$000,$000,$000,$9350,$10200,$19040,87,
