ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
10,M2K 03-25,2025-01-08 08:49:51,Long,2240,2025-01-08 09:30:10,2252.5,TP1_Long_03,125.00,3.80,121.20,-21.00,375.00,Asia Low,3,1.33,0,1,0,0,6
10.2,M2K 03-25,2025-01-08 08:49:51,Long,2240,2025-01-08 09:30:10,2252.5,TP1_Long_03,62.50,1.90,60.60,-21.00,375.00,Asia Low,3,0.66,0,1,0,0,6
10.3,M2K 03-25,2025-01-08 08:49:51,Long,2240,2025-01-08 10:30:03,2240,SL_Long_03,0.00,1.90,-1.90,-21.00,375.00,Asia Low,3,0.00,0,1,0,0,6
10.4,M2K 03-25,2025-01-08 08:49:51,Long,2240,2025-01-08 10:30:03,2239.9,SL_Long_03,-1.00,3.80,-4.80,-21.00,375.00,Asia Low,3,-0.01,0,1,0,0,6
11,M2K 03-25,2025-01-08 11:10:29,Long,2234.9,2025-01-08 11:13:37,2228.8,SL_Long_01,-61.00,3.80,-64.80,-152.50,7.50,USA Low,1,-0.40,0,1,0,0,6
11.2,M2K 03-25,2025-01-08 11:10:29,Long,2234.9,2025-01-08 11:13:37,2228.7,SL_Long_01,-93.00,5.70,-98.70,-152.50,7.50,USA Low,1,-0.61,0,1,0,0,6
12.1,M2K 03-25,2025-01-08 11:29:42,Long,2230.2,2025-01-08 11:59:29,2242.5,TP1_Long_02,61.50,1.90,59.60,-66.50,434.00,USA Low,2,0.39,0,1,0,0,6
12.2,M2K 03-25,2025-01-08 11:29:42,Long,2230.2,2025-01-08 11:59:29,2242.5,TP1_Long_02,61.50,1.90,59.60,-66.50,434.00,USA Low,2,0.39,0,1,0,0,6
12.3,M2K 03-25,2025-01-08 11:29:42,Long,2230.2,2025-01-08 11:59:29,2242.5,TP1_Long_02,61.50,1.90,59.60,-66.50,434.00,USA Low,2,0.39,0,1,0,0,6
12.4,M2K 03-25,2025-01-08 11:29:42,Long,2230.2,2025-01-08 11:59:29,2242.5,TP1_Long_02,61.50,1.90,59.60,-66.50,434.00,USA Low,2,0.39,0,1,0,0,6
12.5,M2K 03-25,2025-01-08 11:29:42,Long,2230.2,2025-01-09 10:29:01,2245.2,Exit_Long_Market,75.00,1.90,73.10,-66.50,439.50,USA Low,2,0.48,0,1,0,0,6
12.6,M2K 03-25,2025-01-08 11:29:42,Long,2230.2,2025-01-09 10:29:01,2245.1,Exit_Long_Market,149.00,3.80,145.20,-66.50,439.50,USA Low,2,0.95,0,1,0,0,6
13,M2K 03-25,2025-01-09 19:26:55,Long,2241.5,2025-01-09 19:33:13,2240.5,SL_Long_01,-20.00,7.60,-27.60,-145.00,174.00,Europe Low,1,-4.00,0,1,0,0,0
13.2,M2K 03-25,2025-01-09 19:26:55,Long,2241.5,2025-01-09 19:33:13,2240.4,SL_Long_01,-137.50,47.50,-185.00,-145.00,174.00,Europe Low,1,-27.50,0,1,0,0,0
14,M2K 03-25,2025-01-09 19:42:13,Long,2239,2025-01-09 20:14:11,2237.3,SL_Long_02,-17.00,3.80,-20.80,-152.00,190.00,Europe Low,2,-0.71,0,1,0,0,0
14.2,M2K 03-25,2025-01-09 19:42:13,Long,2239,2025-01-09 20:14:11,2237.2,SL_Long_02,-153.00,32.30,-185.30,-152.00,190.00,Europe Low,2,-6.37,0,1,0,0,0
15,M2K 03-25,2025-01-09 20:15:04,Long,2237.1,2025-01-09 20:17:45,2236.5,SL_Long_03,-6.00,3.80,-9.80,-300.00,400.00,Europe Low,3,-12.00,0,1,0,0,0
15.2,M2K 03-25,2025-01-09 20:15:04,Long,2237.1,2025-01-09 20:17:45,2236.4,SL_Long_03,-343.00,186.20,-529.20,-300.00,400.00,Europe Low,3,-686.00,0,1,0,0,0
16,M2K 03-25,2025-01-09 20:24:02,Long,2236,2025-01-09 20:25:42,2235.4,SL_Long_04,-6.00,3.80,-9.80,-155.00,0.00,Europe Low,4,-0.80,0,1,0,0,0
